epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,1919.61,1.17245,1.1116,1.31406,0.66711,0.48257,0.53715,0.3615,1.21484,1.41717,1.38243,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,1948.11,1.17006,1.11793,1.31992,0.66653,0.4841,0.53609,0.36327,1.21122,1.41113,1.38052,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,1976.88,1.16905,1.10842,1.31154,0.66517,0.48861,0.53843,0.36377,1.21446,1.41619,1.38689,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,2005.77,1.18501,1.11483,1.31132,0.66819,0.48943,0.54077,0.36378,1.21664,1.40299,1.38604,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,2034.15,1.16369,1.10568,1.30727,0.67122,0.49065,0.53935,0.3637,1.21776,1.41762,1.38545,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,2063.8,1.18578,1.10587,1.31268,0.66557,0.48667,0.53671,0.36327,1.21645,1.42207,1.38607,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,2093.24,1.16369,1.0968,1.30521,0.66209,0.4897,0.53835,0.36469,1.22,1.41759,1.38795,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,2121.23,1.16038,1.08826,1.30658,0.66551,0.48704,0.53814,0.36378,1.21553,1.41355,1.38486,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,2151.04,1.16126,1.09194,1.30615,0.67441,0.48046,0.53994,0.36534,1.21539,1.40926,1.38533,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,2180.07,1.15895,1.08385,1.30442,0.67173,0.48644,0.5404,0.36553,1.21535,1.40678,1.3855,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,2208.56,1.14988,1.07947,1.29828,0.66528,0.48708,0.53887,0.36549,1.21443,1.40518,1.38612,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,2237.31,1.15706,1.08577,1.30198,0.65353,0.49328,0.54027,0.36641,1.21348,1.40026,1.38497,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,2266.06,1.16067,1.08169,1.30261,0.6603,0.48911,0.54061,0.36518,1.21156,1.40001,1.38192,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,2294.43,1.17286,1.08538,1.30588,0.66394,0.48483,0.53963,0.36448,1.21331,1.40577,1.38278,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,2323,1.16809,1.0815,1.30637,0.66848,0.48657,0.54076,0.36481,1.21179,1.40782,1.38264,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,2351.58,1.15656,1.08214,1.30259,0.64258,0.50485,0.54209,0.36575,1.21221,1.40581,1.38181,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,2379.91,1.14104,1.0704,1.29827,0.65447,0.49675,0.54169,0.36535,1.21202,1.40473,1.38197,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,2409.6,1.17192,1.06663,1.3449,0.64601,0.4985,0.54169,0.36688,1.21053,1.39606,1.38215,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,2437.7,1.15818,1.04355,1.33772,0.65767,0.49291,0.54167,0.368,1.20905,1.38938,1.38107,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,2466.04,1.14953,1.03493,1.33073,0.67489,0.48682,0.54202,0.36883,1.20736,1.38446,1.37919,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,2493.82,1.16945,1.04263,1.33874,0.67259,0.49016,0.54203,0.36957,1.20459,1.38258,1.37657,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,2522.03,1.15268,1.02045,1.32859,0.67095,0.49038,0.54186,0.37006,1.20089,1.38198,1.3737,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,2552.82,1.1575,1.01453,1.32636,0.66232,0.49507,0.54237,0.37095,1.19986,1.37674,1.37343,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,2584.61,1.15352,1.01566,1.3295,0.66092,0.49878,0.54355,0.37191,1.1993,1.3736,1.37363,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,2616.54,1.1503,1.00663,1.32681,0.67834,0.4898,0.54431,0.37227,1.19741,1.37586,1.37238,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,2647.38,1.16273,1.01529,1.32612,0.68375,0.48398,0.54506,0.37284,1.19808,1.37659,1.37275,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,2677.07,1.13834,1.00413,1.31941,0.66874,0.49093,0.54484,0.37282,1.19759,1.3751,1.37268,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,2704.57,1.14978,1.00132,1.31448,0.67595,0.48736,0.54468,0.37171,1.19734,1.37514,1.3719,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,2732.14,1.14116,0.99538,1.31747,0.67507,0.48741,0.5436,0.37141,1.19707,1.37649,1.37156,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,2759.77,1.13932,0.99217,1.31273,0.67609,0.48646,0.54343,0.37132,1.19688,1.37752,1.37169,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,2787.04,1.1455,0.99002,1.31404,0.67538,0.48575,0.54258,0.37108,1.19681,1.37825,1.37191,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,2814.17,1.12948,0.977,1.30955,0.67532,0.48615,0.54262,0.37115,1.19736,1.37712,1.37302,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
